time_msc;open;sma;current_delta;forecast_delta
2024-05-17 09:00:30;129350;0;0;0
2024-05-17 09:00:35;129325;0;0;0
2024-05-17 09:00:40;129230;0;0;0
2024-05-17 09:00:45;129180;0;0;0
2024-05-17 09:00:50;129220;0;0;0
2024-05-17 09:00:55;129235;0;0;0
2024-05-17 09:01:00;129245;0;0;0
2024-05-17 09:01:05;129180;0;0;0
2024-05-17 09:01:10;129170;0;0;0
2024-05-17 09:01:15;129175;0;0;0
2024-05-17 09:01:20;129200;0;0;0
2024-05-17 09:01:25;129200;0;0;0
2024-05-17 09:01:30;129210;0;0;0
2024-05-17 09:01:35;129235;129225,3571;0;-11,42857143
2024-05-17 09:01:40;129190;129213,9286;-11,42857143;-12,5
2024-05-17 09:01:45;129150;129201,4286;-12,5;-5,714285714
2024-05-17 09:01:50;129150;129195,7143;-5,714285714;-3,214285714
2024-05-17 09:01:55;129135;129192,5;-3,214285714;-7,857142857
2024-05-17 09:02:00;129110;129184,6429;-7,857142857;-10,35714286
2024-05-17 09:02:05;129090;129174,2857;-10,35714286;-12,14285714
2024-05-17 09:02:10;129075;129162,1429;-12,14285714;-6,071428571
2024-05-17 09:02:15;129095;129156,0714;-6,071428571;-4,642857143
2024-05-17 09:02:20;129105;129151,4286;-4,642857143;-7,5
2024-05-17 09:02:25;129070;129143,9286;-7,5;-8,571428571
2024-05-17 09:02:30;129080;129135,3571;-8,571428571;-8,214285714
2024-05-17 09:02:35;129085;129127,1429;-8,214285714;-7,142857143
2024-05-17 09:02:40;129110;129120;-7,142857143;-8,928571429
2024-05-17 09:02:45;129110;129111,0714;-8,928571429;-4,642857143
2024-05-17 09:02:50;129125;129106,4286;-4,642857143;-0,714285714
2024-05-17 09:02:55;129140;129105,7143;-0,714285714;0
2024-05-17 09:03:00;129150;129105,7143;0;0,714285714
2024-05-17 09:03:05;129145;129106,4286;0,714285714;3,214285714
2024-05-17 09:03:10;129155;129109,6429;3,214285714;7,142857143
2024-05-17 09:03:15;129190;129116,7857;7,142857143;8,214285714
2024-05-17 09:03:20;129190;129125;8,214285714;7,5
2024-05-17 09:03:25;129200;129132,5;7,5;6,428571429
2024-05-17 09:03:30;129195;129138,9286;6,428571429;7,142857143
2024-05-17 09:03:35;129170;129146,0714;7,142857143;5,714285714
2024-05-17 09:03:40;129160;129151,7857;5,714285714;6,428571429
2024-05-17 09:03:45;129175;129158,2143;6,428571429;5
2024-05-17 09:03:50;129180;129163,2143;5;5
2024-05-17 09:03:55;129180;129168,2143;5;2,5
2024-05-17 09:04:00;129160;129170,7143;2,5;1,785714286
