Brick;Brick.EqualityContract;Brick.Date;Brick.Type;Brick.Open;Brick.High;Brick.Low;Brick.Close;Brick.TicksCount;Brick.Volume
"Brick { Date = 10/06/2024 09:00:58, Type = Up, Open = 120695, High = 120745, Low = 120690, Close = 120745, TicksCount = 2362, Volume = 12796 }";Application.Range.Brick;"10/06/2024 09:00:58";Up;120695;120745;120690;120745;2362;12796
"Brick { Date = 10/06/2024 12:49:34, Type = Down, Open = 121145, High = 121160, Low = 121095, Close = 121095, TicksCount = 9727, Volume = 36772 }";Application.Range.Brick;"10/06/2024 12:49:34";Down;121145;121160;121095;121095;9727;36772
"Brick { Date = 10/06/2024 12:45:02, Type = Up, Open = 121095, High = 121145, Low = 121070, Close = 121145, TicksCount = 23760, Volume = 90044 }";Application.Range.Brick;"10/06/2024 12:45:02";Up;121095;121145;121070;121145;23760;90044
"Brick { Date = 10/06/2024 12:44:33, Type = Down, Open = 121145, High = 121150, Low = 121095, Close = 121095, TicksCount = 5304, Volume = 18865 }";Application.Range.Brick;"10/06/2024 12:44:33";Down;121145;121150;121095;121095;5304;18865
"Brick { Date = 10/06/2024 12:41:18, Type = Down, Open = 121195, High = 121225, Low = 121145, Close = 121145, TicksCount = 22197, Volume = 85454 }";Application.Range.Brick;"10/06/2024 12:41:18";Down;121195;121225;121145;121145;22197;85454
"Brick { Date = 10/06/2024 12:36:31, Type = Up, Open = 121145, High = 121195, Low = 121100, Close = 121195, TicksCount = 32013, Volume = 123729 }";Application.Range.Brick;"10/06/2024 12:36:31";Up;121145;121195;121100;121195;32013;123729
"Brick { Date = 10/06/2024 12:35:47, Type = Up, Open = 121095, High = 121145, Low = 121085, Close = 121145, TicksCount = 10860, Volume = 42604 }";Application.Range.Brick;"10/06/2024 12:35:47";Up;121095;121145;121085;121145;10860;42604
"Brick { Date = 10/06/2024 12:35:18, Type = Up, Open = 121045, High = 121095, Low = 121035, Close = 121095, TicksCount = 7075, Volume = 26202 }";Application.Range.Brick;"10/06/2024 12:35:18";Up;121045;121095;121035;121095;7075;26202
"Brick { Date = 10/06/2024 12:33:20, Type = Down, Open = 121095, High = 121120, Low = 121045, Close = 121045, TicksCount = 21614, Volume = 79825 }";Application.Range.Brick;"10/06/2024 12:33:20";Down;121095;121120;121045;121045;21614;79825
"Brick { Date = 10/06/2024 12:32:47, Type = Down, Open = 121145, High = 121155, Low = 121095, Close = 121095, TicksCount = 5625, Volume = 22448 }";Application.Range.Brick;"10/06/2024 12:32:47";Down;121145;121155;121095;121095;5625;22448
"Brick { Date = 10/06/2024 12:30:27, Type = Down, Open = 121195, High = 121230, Low = 121145, Close = 121145, TicksCount = 15579, Volume = 64428 }";Application.Range.Brick;"10/06/2024 12:30:27";Down;121195;121230;121145;121145;15579;64428
"Brick { Date = 10/06/2024 12:27:30, Type = Up, Open = 121145, High = 121195, Low = 121120, Close = 121195, TicksCount = 13584, Volume = 52958 }";Application.Range.Brick;"10/06/2024 12:27:30";Up;121145;121195;121120;121195;13584;52958
"Brick { Date = 10/06/2024 12:27:05, Type = Up, Open = 121095, High = 121145, Low = 121095, Close = 121145, TicksCount = 4640, Volume = 20777 }";Application.Range.Brick;"10/06/2024 12:27:05";Up;121095;121145;121095;121145;4640;20777
"Brick { Date = 10/06/2024 12:26:25, Type = Down, Open = 121145, High = 121165, Low = 121095, Close = 121095, TicksCount = 7035, Volume = 26136 }";Application.Range.Brick;"10/06/2024 12:26:25";Down;121145;121165;121095;121095;7035;26136
"Brick { Date = 10/06/2024 12:23:24, Type = Down, Open = 121195, High = 121210, Low = 121145, Close = 121145, TicksCount = 13583, Volume = 54732 }";Application.Range.Brick;"10/06/2024 12:23:24";Down;121195;121210;121145;121145;13583;54732
"Brick { Date = 10/06/2024 12:23:04, Type = Up, Open = 121145, High = 121195, Low = 121140, Close = 121195, TicksCount = 4328, Volume = 16862 }";Application.Range.Brick;"10/06/2024 12:23:04";Up;121145;121195;121140;121195;4328;16862
"Brick { Date = 10/06/2024 12:21:39, Type = Down, Open = 121195, High = 121220, Low = 121145, Close = 121145, TicksCount = 12050, Volume = 51456 }";Application.Range.Brick;"10/06/2024 12:21:39";Down;121195;121220;121145;121145;12050;51456
"Brick { Date = 10/06/2024 12:20:09, Type = Down, Open = 121245, High = 121260, Low = 121195, Close = 121195, TicksCount = 14229, Volume = 56710 }";Application.Range.Brick;"10/06/2024 12:20:09";Down;121245;121260;121195;121195;14229;56710
"Brick { Date = 10/06/2024 12:19:46, Type = Up, Open = 121195, High = 121245, Low = 121190, Close = 121245, TicksCount = 8518, Volume = 32511 }";Application.Range.Brick;"10/06/2024 12:19:46";Up;121195;121245;121190;121245;8518;32511
"Brick { Date = 10/06/2024 12:15:43, Type = Up, Open = 121145, High = 121195, Low = 121100, Close = 121195, TicksCount = 25995, Volume = 104167 }";Application.Range.Brick;"10/06/2024 12:15:43";Up;121145;121195;121100;121195;25995;104167
"Brick { Date = 10/06/2024 12:14:16, Type = Down, Open = 121195, High = 121195, Low = 121145, Close = 121145, TicksCount = 6855, Volume = 27590 }";Application.Range.Brick;"10/06/2024 12:14:16";Down;121195;121195;121145;121145;6855;27590
"Brick { Date = 10/06/2024 12:13:32, Type = Up, Open = 121145, High = 121195, Low = 121140, Close = 121195, TicksCount = 4591, Volume = 16973 }";Application.Range.Brick;"10/06/2024 12:13:32";Up;121145;121195;121140;121195;4591;16973
